Dataset,Algorithm,ARI,AMI,FMI,Silhouette,Time (s)
Iris,ICKDC (Yours),0.758,0.783,0.839,0.503,0.0007
Iris,DBSCAN,0.612,0.634,0.729,0.306,0.0003
Iris,K-Means,0.701,0.711,0.799,0.483,0.0006
Iris,MeanShift,0.593,0.714,0.748,0.477,0.0846
Iris,AGNES,0.72,0.781,0.816,0.505,0.0004
Iris,Spectral,0.745,0.775,0.831,0.507,0.0064
Wine,ICKDC (Yours),0.696,0.713,0.799,0.285,0.0008
Wine,DBSCAN,0.447,0.552,0.634,0.096,0.0005
Wine,K-Means,0.854,0.84,0.903,0.301,0.0006
Wine,MeanShift,0.426,0.49,0.652,0.14,0.1436
Wine,AGNES,0.931,0.908,0.954,0.295,0.0005
Wine,Spectral,0.869,0.851,0.913,0.3,0.0064
Wdbc,ICKDC (Yours),0.731,0.626,0.877,0.376,0.0051
Wdbc,DBSCAN,0.44,0.344,0.725,0.141,0.0014
Wdbc,K-Means,0.73,0.623,0.877,0.385,0.0013
Wdbc,MeanShift,0.033,0.058,0.724,0.481,1.46
Wdbc,AGNES,0.538,0.416,0.789,0.367,0.0023
Wdbc,Spectral,0.798,0.713,0.908,0.379,0.0147
Digits,ICKDC (Yours),0.404,0.555,0.498,0.117,0.0265
Digits,DBSCAN,0.0,0.0,0.315,,0.0054
Digits,K-Means,0.614,0.728,0.658,0.185,0.0044
Digits,MeanShift,0.0,0.0,0.315,,4.7916
Digits,AGNES,0.777,0.862,0.802,0.176,0.0282
Digits,Spectral,0.815,0.898,0.838,0.16,0.0589
Seeds,ICKDC (Yours),0.623,0.612,0.737,0.216,0.0011
Seeds,DBSCAN,0.529,0.586,0.671,0.235,0.0005
Seeds,K-Means,0.693,0.662,0.795,0.422,0.0007
Seeds,MeanShift,0.486,0.57,0.72,0.507,0.0893
Seeds,AGNES,0.675,0.687,0.785,0.381,0.0006
Seeds,Spectral,0.634,0.652,0.757,0.401,0.0062
Ecoli,ICKDC (Yours),0.443,0.511,0.672,0.271,0.0015
Ecoli,DBSCAN,0.143,0.292,0.427,-0.099,0.0006
Ecoli,K-Means,0.483,0.59,0.607,0.224,0.0011
Ecoli,MeanShift,0.547,0.5,0.707,0.279,0.2073
Ecoli,AGNES,0.399,0.586,0.538,0.243,0.0008
Ecoli,Spectral,0.375,0.557,0.517,0.262,0.0133
Dermatology,ICKDC (Yours),0.019,0.054,0.122,0.677,0.0009
Dermatology,DBSCAN,0.0,0.0,0.448,,0.0007
Dermatology,K-Means,0.039,0.09,0.225,0.541,0.0007
Dermatology,MeanShift,0.0,0.0,0.448,,0.0504
Dermatology,AGNES,0.027,0.09,0.224,0.551,0.0008
Dermatology,Spectral,0.017,0.049,0.204,0.098,0.0145
Ionosphere,ICKDC (Yours),0.229,0.248,0.605,0.284,0.0029
Ionosphere,DBSCAN,0.723,0.601,0.874,0.183,0.001
Ionosphere,K-Means,0.173,0.128,0.603,0.295,0.0008
Ionosphere,MeanShift,0.294,0.178,0.599,0.205,0.9111
Ionosphere,AGNES,0.187,0.137,0.611,0.295,0.0011
Ionosphere,Spectral,0.115,0.074,0.579,0.292,0.01
Parkinsons,ICKDC (Yours),0.196,0.209,0.513,0.025,0.0018
Parkinsons,DBSCAN,0.025,0.008,0.578,0.171,0.0007
Parkinsons,K-Means,0.045,0.228,0.594,0.277,0.0007
Parkinsons,MeanShift,0.023,0.077,0.478,0.191,0.84
Parkinsons,AGNES,-0.086,0.128,0.61,0.318,0.0006
Parkinsons,Spectral,0.215,0.093,0.727,0.198,0.0066
Segmentation,ICKDC (Yours),0.399,0.607,0.553,0.354,0.0291
Segmentation,DBSCAN,0.454,0.61,0.528,-0.131,0.005
Segmentation,K-Means,0.525,0.621,0.599,0.324,0.0027
Segmentation,MeanShift,0.243,0.508,0.481,0.262,11.024
Segmentation,AGNES,0.538,0.636,0.606,0.284,0.0295
Segmentation,Spectral,0.353,0.659,0.53,0.058,0.0996
