Dataset,Algorithm,ARI,AMI,FMI,Silhouette,Time (s)
Aggregation,ICKDC (Yours),0.973,0.971,0.979,0.437,0.0096
Aggregation,DBSCAN,0.988,0.983,0.991,0.428,0.0019
Aggregation,K-Means,0.715,0.828,0.776,0.472,0.0346
Aggregation,MeanShift,0.865,0.897,0.894,0.483,0.7173
Aggregation,AGNES,0.815,0.907,0.857,0.433,0.0841
Aggregation,Spectral,0.623,0.811,0.7,0.272,0.0242
R15,ICKDC (Yours),0.965,0.979,0.968,0.686,0.0018
R15,DBSCAN,0.982,0.985,0.983,0.746,0.0008
R15,K-Means,0.897,0.955,0.905,0.678,0.0012
R15,MeanShift,0.78,0.894,0.797,0.605,0.138
R15,AGNES,0.982,0.985,0.983,0.75,0.0017
R15,Spectral,0.704,0.896,0.739,0.378,0.0214
Spiral,ICKDC (Yours),0.181,0.487,0.377,0.245,0.0016
Spiral,DBSCAN,1.0,1.0,1.0,0.001,0.0005
Spiral,K-Means,-0.006,-0.006,0.328,0.36,0.0013
Spiral,MeanShift,-0.003,-0.003,0.329,0.355,0.2606
Spiral,AGNES,0.002,0.002,0.34,0.327,0.0006
Spiral,Spectral,0.271,0.449,0.559,-0.067,0.0109
Flame,ICKDC (Yours),0.967,0.927,0.985,0.335,0.0011
Flame,DBSCAN,0.949,0.889,0.976,0.277,0.0004
Flame,K-Means,0.465,0.425,0.742,0.376,0.0005
Flame,MeanShift,0.442,0.41,0.731,0.375,0.2123
Flame,AGNES,0.213,0.269,0.627,0.329,0.0005
Flame,Spectral,0.524,0.508,0.77,0.374,0.0068
Compound,ICKDC (Yours),0.394,0.641,0.523,0.21,0.0022
Compound,DBSCAN,0.927,0.779,0.945,-0.111,0.0005
Compound,K-Means,0.5,0.677,0.612,0.414,0.001
Compound,MeanShift,0.719,0.767,0.816,0.605,0.1906
Compound,AGNES,0.511,0.691,0.622,0.4,0.001
Compound,Spectral,0.487,0.717,0.606,0.417,0.0147
Toy,ICKDC (Yours),0.153,0.414,0.39,0.408,0.0074
Toy,DBSCAN,0.989,0.976,0.995,0.384,0.0026
Toy,K-Means,0.476,0.379,0.738,0.493,0.0014
Toy,MeanShift,0.205,0.404,0.454,0.426,1.49
Toy,AGNES,0.67,0.642,0.838,0.452,0.0094
Toy,Spectral,0.725,0.618,0.862,0.465,0.0775
Circles,ICKDC (Yours),0.072,0.338,0.267,0.417,0.0042
Circles,DBSCAN,1.0,1.0,1.0,0.112,0.0019
Circles,K-Means,-0.001,-0.001,0.499,0.353,0.0017
Circles,MeanShift,-0.001,-0.001,0.499,0.352,0.7401
Circles,AGNES,0.031,0.023,0.52,0.305,0.0043
Circles,Spectral,1.0,1.0,1.0,0.112,0.0661
